t,n,message_size,keygen_duration,signature_size,signature_duration,verification_duration
1,3,64,0.0005167100000000001,96,0.0007287500000000002,0.0006120400000000012
2,3,64,0.0005521690000000017,96,0.0005889199999999997,0.0005996910000000029
2,4,64,0.0005786289999999972,96,0.0005647710000000021,0.000627469000000002
3,4,64,0.00054974,96,0.0007320100000000017,0.0005218300000000009
2,5,64,0.0006467300000000016,96,0.0006809319999999987,0.000609980000000003
4,5,64,0.0005666109999999981,96,0.0006486010000000021,0.0005797490000000009
2,6,64,0.0006720189999999994,96,0.0006043909999999993,0.0005816099999999998
4,6,64,0.0006086310000000018,96,0.0006162089999999995,0.0006027510000000021
5,6,64,0.0006326219999999994,96,0.0006250409999999998,0.0005294399999999991
3,7,64,0.0006948399999999987,96,0.0005465009999999978,0.0005712200000000008
5,7,64,0.0006312499999999999,96,0.0006824400000000029,0.0006819799999999987
6,7,64,0.0006344099999999984,96,0.0006779899999999998,0.0006234500000000011
3,8,64,0.0006183790000000022,96,0.0006884300000000038,0.0005999409999999997
5,8,64,0.0006837199999999988,96,0.0006363799999999989,0.0005537699999999951
7,8,64,0.0008985700000000013,96,0.0006649399999999993,0.0005668009999999987
3,9,64,0.0007522900000000027,96,0.0006738480000000012,0.0005291400000000009
6,9,64,0.0005975210000000002,96,0.0005796600000000027,0.0007103899999999982
7,9,64,0.0006526100000000014,96,0.0006397710000000008,0.00048305000000000223
8,10,64,0.0007273799999999997,96,0.0005236209999999984,0.0005825890000000014
4,10,64,0.0006445290000000013,96,0.0006638999999999985,0.0007315910000000002
7,10,64,0.0007627309999999991,96,0.0006267710000000017,0.000522019999999998
1,3,128,0.0005994799999999995,96,0.0006370090000000009,0.0005424100000000001
2,3,128,0.0005155809999999976,96,0.0005472109999999988,0.0006272689999999997
2,4,128,0.0005966669999999986,96,0.0006248000000000017,0.0006940010000000031
3,4,128,0.000579409000000003,96,0.0005795919999999968,0.0005841409999999998
2,5,128,0.0006029999999999994,96,0.0006893819999999988,0.0007642599999999992
4,5,128,0.0005391279999999998,96,0.0007120010000000003,0.0006552800000000011
2,6,128,0.0007538810000000014,96,0.0005912399999999998,0.0005192099999999991
4,6,128,0.0007517800000000005,96,0.0005362400000000003,0.000711139999999999
5,6,128,0.0007304909999999998,96,0.0006444999999999992,0.0005828880000000002
3,7,128,0.0006912100000000011,96,0.0006930700000000005,0.0005520809999999994
5,7,128,0.0006308899999999985,96,0.0006275399999999993,0.0006233700000000016
6,7,128,0.0006687700000000026,96,0.0006655399999999992,0.0005894000000000038
3,8,128,0.0005810699999999995,96,0.0005941999999999996,0.0005190000000000021
5,8,128,0.0006621490000000008,96,0.0006465199999999977,0.000551979000000001
7,8,128,0.0005338489999999994,96,0.0006156699999999987,0.0005019209999999989
3,9,128,0.0006887609999999995,96,0.0005797700000000003,0.0006251700000000013
6,9,128,0.0006088889999999979,96,0.0006075799999999999,0.0007921200000000003
7,9,128,0.0006735299999999986,96,0.0007389120000000013,0.0005989089999999982
8,10,128,0.0007776789999999999,96,0.0006871800000000025,0.000812489999999999
4,10,128,0.0007145889999999981,96,0.0006594700000000023,0.0007015809999999997
7,10,128,0.0006488210000000008,96,0.0006073780000000022,0.0005158889999999985
