t,n,message_size,keygen_duration,signature_size,signature_duration,verification_duration
2,5,64,0.0005460359999999997,96,0.0005810960000000032,0.00042762699999999987
4,5,64,0.0005281250000000043,96,0.0004589039999999961,0.0004842580000000013
8,10,64,0.001243602999999996,96,0.0008507970000000004,0.0008008429999999955
4,10,64,0.0011379940000000033,96,0.0008262470000000022,0.0005283060000000062
7,10,64,0.001029589999999997,96,0.0008496530000000058,0.0013985120000000045
10,15,64,0.001092005000000007,96,0.0009407449999999928,0.0007839780000000046
12,15,64,0.0009676460000000026,96,0.0008340099999999961,0.0008683349999999979
5,15,64,0.0010215209999999975,96,0.0006877659999999924,0.0005447140000000017
2,5,64,0.0008664850000000002,96,0.0004831510000000011,0.0004423389999999999
2,5,64,0.0007863799999999962,96,0.0004524750000000008,0.000496015999999995
2,5,64,0.0009073320000000037,96,0.0005784859999999961,0.0004996500000000043
4,5,64,0.0007849050000000024,96,0.0006609429999999972,0.0006058770000000047
8,10,64,0.0008378319999999967,96,0.0007804620000000095,0.00076117299999999
4,10,64,0.0013215949999999949,96,0.0006059079999999883,0.0007217689999999971
7,10,64,0.0012206560000000005,96,0.0007394740000000039,0.0007847299999999974
10,15,64,0.0009771479999999971,96,0.0014415709999999887,0.0006477920000000081
12,15,64,0.0011912539999999888,96,0.000764833999999992,0.0005689730000000004
5,15,64,0.0011621450000000033,96,0.0007605630000000058,0.00046932199999999424
2,5,64,0.0007298439999999934,96,0.0006022180000000016,0.000640197000000009
